"spiel_id","spiel_title","bgg_id","note"
"396","Krakel-Orakel Erweiterung – Neue Orakelkarten, neue Krakelstifte","","Fill verified BGG ID"
"376","Krakel-Orakel Ü18-Erweiterung – Heiße Orakelkarten, neue Krakelstifte","","Fill verified BGG ID"
"425","Krakel-Spektakel – Dreh die Scheibe und krakle mit 6 brandneuen Challenges","","Fill verified BGG ID"
"329","Kurz Geraten – Ohne Vokale bis zum Finale!","","Fill verified BGG ID"
"1190","LASS ES RAUS! Tabubruch","","Fill verified BGG ID"
"1235","LETTER UP","","Fill verified BGG ID"
"1365","Lairs","","Fill verified BGG ID"
"62","Landmarks of the Lost Atlas","","Fill verified BGG ID"
"1072","Lands of Evershade","","Fill verified BGG ID"
"1493","Lava Run","","Fill verified BGG ID"
"167","Leaf it!","","Fill verified BGG ID"
"1460","Leafwork","","Fill verified BGG ID"
"784","Lemonade Stand","","Fill verified BGG ID"
"1432","Let's Match","","Fill verified BGG ID"
"1157","Let´s learn - Top to Bottom - IQ Bingo","","Fill verified BGG ID"
"902","Let’s Go Kavango","","Fill verified BGG ID"
"1287","Level Up! Das Nerd-Quiz (2026 Edition)","","Fill verified BGG ID"
"235","Liar's UNO","","Fill verified BGG ID"
"344","Liebsch'se, du Geiß? Das Spiel mit der App, die rückwärts spricht!","","Fill verified BGG ID"
"1213","Light Speed: Arena - League56","","Fill verified BGG ID"
"729","Lightning City: Tokyo","","Fill verified BGG ID"
"884","Ligretto® Fußball","","Fill verified BGG ID"
"1000","Little Clans","","Fill verified BGG ID"
"528","Little Dinosaurs","","Fill verified BGG ID"
"296","Little Giants","","Fill verified BGG ID"
"669","Little Observation Bzzz","","Fill verified BGG ID"
"1242","Longue Vie au Roi - Long live the King","","Fill verified BGG ID"
"565","Lost Ruins of Arnak: Upgraded Components","","Fill verified BGG ID"
"208","Lucky 8","","Fill verified BGG ID"
"673","Lucky Cat","","Fill verified BGG ID"
"1113","Lucky Kitty","","Fill verified BGG ID"
"458","Lust Sabbath","","Fill verified BGG ID"
"1219","Luxusyacht","","Fill verified BGG ID"
"350","Länder Toppen","","Fill verified BGG ID"
"1379","Lückenfüller","","Fill verified BGG ID"
"665","MOGEL MOTTE DELUXE","","Fill verified BGG ID"
"1191","Mach es nach!","","Fill verified BGG ID"
"811","Machu Pichu","","Fill verified BGG ID"
"205","Maestro","","Fill verified BGG ID"
"734","Magic Bluff","","Fill verified BGG ID"
"1285","Magische Spiegel","","Fill verified BGG ID"
"1250","Magnet Club","","Fill verified BGG ID"
"190","Mankind Madness","","Fill verified BGG ID"
"173","March of the Ants: Krieg im Unterholz","","Fill verified BGG ID"
"1415","Marilyn Monroe","","Fill verified BGG ID"
"637","Masquerade Trick Party","","Fill verified BGG ID"
"1392","Massenweise Monster","","Fill verified BGG ID"
"1280","Match My Beat","","Fill verified BGG ID"
"1080","Math Masters - Winner Dutch Game of the Year","","Fill verified BGG ID"
"998","Matsch Party","","Fill verified BGG ID"
"561","Matter matters","","Fill verified BGG ID"
"1485","Maya Run","","Fill verified BGG ID"
"801","Meat Your Match","","Fill verified BGG ID"
"668","Mechs vs. Minions: Classic Edition","","Fill verified BGG ID"
"650","Memoett","","Fill verified BGG ID"
"714","Metro Bingo","","Fill verified BGG ID"
"1270","MicroMacro: Kids – Wild Wild Weekend","","Fill verified BGG ID"
"1466","Midgard - Legenden von Damatu: Schicksalskarten","","Fill verified BGG ID"
"1461","Midgard - Legenden von Damatu: Schicksalsmünzen (20er Set, silber)","","Fill verified BGG ID"
"1458","Midgard - Legenden von Damatu: Würfelset 1 (grün) standard","","Fill verified BGG ID"
"602","Midgard – Legenden von Damatu: Grundregelwerk","","Fill verified BGG ID"
"109","Migo (Irrlichter)","","Fill verified BGG ID"
"1178","Millimemory","","Fill verified BGG ID"
"739","Mime Master","","Fill verified BGG ID"
"1337","Misfit Heroes","","Fill verified BGG ID"
"1314","Misfit Heroes: Healers Expansion","","Fill verified BGG ID"
"559","Mission Membran - Zucker in die Blutbahn","","Fill verified BGG ID"
"545","Mission Zelle - Proteine an die richtige Stelle","","Fill verified BGG ID"
"1404","Mistborn","","Fill verified BGG ID"
"448","Modern Art: Artist Collection","","Fill verified BGG ID"
"455","Molly Mampfzahn","","Fill verified BGG ID"
"398","MolΣcools","","Fill verified BGG ID"
"490","Monster Decoy","","Fill verified BGG ID"
